Purchase Amount:                      ndcg
user  Algorithm          
1     ItemItem   0.171626
2     ItemItem   0.092933
3     ItemItem   0.000000
4     ItemItem   0.000000
5     ItemItem   0.000000
6     ItemItem   0.335677
7     ItemItem   0.151409
8     ItemItem   0.300445
9     ItemItem   0.004761
10    ItemItem   0.255973
11    ItemItem   0.000000
12    ItemItem   0.000000
13    ItemItem   0.424505
14    ItemItem   0.000000
15    ItemItem   0.000000
16    ItemItem   0.133010
17    ItemItem   0.428256
18    ItemItem   0.000000
19    ItemItem   0.000000
22    ItemItem   0.100797
23    ItemItem   0.450610
24    ItemItem   0.000000
25    ItemItem   0.107793
26    ItemItem   0.000000
27    ItemItem   0.000000
28    ItemItem   0.000000
29    ItemItem   0.000000
33    ItemItem   0.392178
35    ItemItem   0.000000
37    ItemItem   0.419494
...                   ...
39310 ItemItem   0.000000
39311 ItemItem   0.356652
39312 ItemItem   0.000000
39313 ItemItem   0.000000
39314 ItemItem   0.564999
39315 ItemItem   0.263051
39316 ItemItem   0.549786
39317 ItemItem   0.000000
39318 ItemItem   0.441401
39319 ItemItem   0.134174
39320 ItemItem   0.000000
39321 ItemItem   0.117802
39322 ItemItem   0.192754
39323 ItemItem   0.000000
39324 ItemItem   0.000000
39327 ItemItem   0.000000
39328 ItemItem   0.000000
39329 ItemItem   0.498429
39330 ItemItem   0.000000
39331 ItemItem   0.203167
39332 ItemItem   0.169839
39333 ItemItem   0.706505
39334 ItemItem   0.000000
39335 ItemItem   0.572432
39336 ItemItem   0.331335
39337 ItemItem   0.424603
39338 ItemItem   0.503961
39339 ItemItem   0.284636
39340 ItemItem   0.000000
39341 ItemItem   0.174038

[34897 rows x 1 columns]
